name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Katharina Andresen,Andresen,katharina-andresen,no-pic-female,0,22,investments,Diversified,F,Norway,1516704901086,1289.707,1780,1781
Edmund Ansin,Ansin,edmund-ansin,edmund-ansin,0,81,television,Media & Entertainment,M,United States,1516704901086,1375.964,1698,1698
Mehmet Aydinlar,Aydinlar,mehmet-aydinlar,mehmet-aydinlar,0,61,hospitals,Healthcare,M,Turkey,1516704901086,1204.031,1862,1862
Oleg Boyko,Boyko,oleg-boyko,oleg-boyko,0,53,diversified,Diversified,M,Russia,1516704901086,1241.156,1828,1828
Charles Brandes,Brandes,charles-brandes,charles-brandes,0,74,money management,Finance and Investments,M,United States,1516704901086,1278.806,1791,1791
Chi Yufeng,Chi,chi-yufeng,no-pic,18.798,47,software,Technology,M,China,1516704901086,1464.055,1625,1625
Chu Jinfu,Chu,chu-jinfu,no-pic,0,60,electrical equipment,Manufacturing,M,China,1516704901086,1167.269,1895,1895
Eduardo Cojuangco,Cojuangco,eduardo-cojuangco,eduardo-cojuangco,43.507,82,"food, drinks",Food and Beverage,M,Philippines,1516704901086,1312.007,1757,1757
Cui Genliang,Cui,cui-genliang,cui-genliang,18.152,59,electric components,Manufacturing,M,China,1516704901086,2126.053,1185,1185
Darwin Deason,Deason,darwin-deason,darwin-deason,8.93,77,Xerox,Service,M,United States,1516704901086,1322.8,1747,1747
K. Dinesh,Dinesh,k-dinesh,k-dinesh,21.629,63,software services,Technology,M,India,1516704901086,1438.349,1643,1643
Sefik Yilmaz Dizdar,Dizdar,sefik-yilmaz-dizdar,no-pic,0,79,fashion retail,Fashion & Retail,M,Turkey,1516704901086,1715.983,1424,1424
Husain Djojonegoro,Djojonegoro,husain-djojonegoro,no-pic,0,68,consumer goods,Manufacturing,M,Indonesia,1516704901086,1231.135,1835,1835
Domenico Dolce,Dolce,domenico-dolce,domenico-dolce,0,59,luxury goods,Fashion & Retail,M,Italy,1516704901086,1397.218,1688,1688
Carl Douglas,Douglas,carl-douglas,no-pic,16.499,56,investments,Diversified,M,Sweden,1516704901086,1652.83,1472,1472
Eric Douglas,Douglas,eric-douglas,no-pic,16.499,49,investments,Diversified,M,Sweden,1516704901086,1652.83,1472,1473
John Farber,Farber,john-farber,no-pic,0.081,92,chemicals,Manufacturing,M,United States,1516704901086,1487.174,1605,1605
Gary Fegel,Fegel,gary-fegel,gary-fegel,0,44,commodities trading,Metals & Mining,M,Switzerland,1516704901086,1200,1866,1868
Stephen Feinberg,Feinberg,stephen-feinberg,no-pic,0,57,private equity,Finance and Investments,M,United States,1516704901086,1649.455,1477,1477
Gleb Fetisov,Fetisov,gleb-fetisov,gleb-fetisov,0,51,investments,Telecom,M,Russia,1516704901086,1215,1852,1852
J. Christopher Flowers,Flowers,j-christopher-flowers,no-pic,-0.219,60,investments,Finance and Investments,M,United States,1516704901086,1131.178,1928,1928
